effective_date,event_type,regime,altcoins,turnover,cost,monthly_signal_date,monthly_original_selection
2020-08-01,mensal,risk_on,,1.0,0.001,2020-07-01,
2020-09-01,mensal,neutral,,0.8,0.0008,2020-08-01,
2020-10-01,mensal,neutral,,0.02012834032766267,2.012834032766267e-05,2020-09-01,
2020-11-01,mensal,risk_on,,0.7726687348047574,0.0007726687348047574,2020-10-01,
2020-12-01,mensal,risk_on,,0.027695793357491977,2.7695793357491977e-05,2020-11-01,
2021-01-01,mensal,risk_on,,0.051508407876531465,5.150840787653147e-05,2020-12-01,
2021-02-01,mensal,risk_on,,0.10903655205954108,0.00010903655205954108,2021-01-01,
2021-03-01,mensal,risk_on,,0.05780143292703105,5.780143292703105e-05,2021-02-01,
2021-04-01,mensal,risk_on,,0.009613839876442681,9.613839876442681e-06,2021-03-01,
2021-05-01,mensal,neutral,,0.8,0.0008,2021-04-01,
2021-06-01,mensal,defensive,,0.16855538311760454,0.00016855538311760454,2021-05-01,
2021-07-01,mensal,defensive,,0.0,0.0,2021-06-01,
2021-08-01,mensal,risk_on,,1.0,0.001,2021-07-01,
2021-09-01,mensal,risk_on,,0.04392996377407832,4.392996377407832e-05,2021-08-01,
2021-10-01,mensal,neutral,,0.7999999999999999,0.0007999999999999999,2021-09-01,
2021-11-01,mensal,risk_on,,0.7388560658742496,0.0007388560658742496,2021-10-01,
2021-12-01,mensal,neutral,,0.8,0.0008,2021-11-01,
2022-01-01,mensal,neutral,,0.03285749398455497,3.285749398455497e-05,2021-12-01,
2022-02-01,mensal,defensive,,0.1634605763490197,0.0001634605763490197,2022-01-01,
2022-03-01,mensal,risk_on,BNB,1.0,0.001,2022-02-01,BNB
2022-04-01,mensal,risk_on,BNB,0.011061090270938129,1.1061090270938129e-05,2022-03-01,BNB
2022-04-23,semanal confirmado 2x,risk_on,,0.34811080760449076,0.00034811080760449077,2022-03-01,BNB
2022-05-01,mensal,defensive,,1.0,0.001,2022-04-01,
2022-06-01,mensal,defensive,,0.0,0.0,2022-05-01,
2022-07-01,mensal,defensive,,0.0,0.0,2022-06-01,
2022-08-01,mensal,risk_on,"BNB, XRP, TRX",1.0,0.001,2022-07-01,"BNB, XRP, TRX"
2022-09-01,mensal,defensive,,1.0,0.001,2022-08-01,
2022-10-01,mensal,risk_on,"XRP, TRX, BNB",1.0,0.001,2022-09-01,"XRP, TRX, BNB"
2022-11-01,mensal,defensive,,1.0,0.001,2022-10-01,
2022-12-01,mensal,defensive,,0.0,0.0,2022-11-01,
2023-01-01,mensal,risk_on,LTC,1.0,0.001,2022-12-01,LTC
2023-02-01,mensal,risk_on,"LTC, ADA, LINK",0.4,0.0004,2023-01-01,"LTC, ADA, LINK"
2023-03-01,mensal,risk_on,,0.5929896810709944,0.0005929896810709943,2023-02-01,
2023-04-01,mensal,risk_on,"XRP, ADA, LINK",0.6,0.0006,2023-03-01,"XRP, ADA, LINK"
2023-04-29,semanal confirmado 2x,risk_on,"XRP, ADA",0.18928095013590251,0.00018928095013590252,2023-03-01,"XRP, ADA, LINK"
2023-05-01,mensal,risk_on,BNB,0.4966054075703489,0.0004966054075703489,2023-04-01,BNB
2023-06-01,mensal,neutral,,0.7999999999999999,0.0007999999999999999,2023-05-01,
2023-07-01,mensal,risk_on,"LTC, BNB, MATIC",0.7880238665807286,0.0007880238665807286,2023-06-01,"LTC, BNB, MATIC"
2023-08-01,mensal,defensive,,1.0,0.001,2023-07-01,
2023-09-01,mensal,defensive,,0.0,0.0,2023-08-01,
2023-10-01,mensal,risk_on,"LINK, TRX, MATIC",1.0,0.001,2023-09-01,"LINK, TRX, MATIC"
2023-11-01,mensal,risk_on,"XRP, MATIC, LINK",0.22293504733368788,0.0002229350473336879,2023-10-01,"XRP, MATIC, LINK"
2023-12-01,mensal,risk_on,"DOGE, LINK, TRX",0.41051070389481537,0.00041051070389481537,2023-11-01,"DOGE, LINK, TRX"
2023-12-09,semanal confirmado 2x,risk_on,"DOGE, MATIC, ADA",0.39999999999999997,0.00039999999999999996,2023-11-01,"DOGE, LINK, TRX"
2023-12-30,semanal confirmado 2x,risk_on,"BNB, MATIC, LINK",0.4154965323215484,0.0004154965323215484,2023-11-01,"DOGE, LINK, TRX"
2024-01-01,mensal,risk_on,"MATIC, BNB, ADA",0.19999999999999996,0.00019999999999999996,2023-12-01,"MATIC, BNB, ADA"
2024-02-01,mensal,neutral,,0.8,0.0008,2024-01-01,
2024-03-01,mensal,risk_on,"BNB, DOGE, LINK",0.734038522930447,0.000734038522930447,2024-02-01,"BNB, DOGE, LINK"
2024-04-01,mensal,risk_on,"DOGE, LTC, BNB",0.26035266949414176,0.00026035266949414176,2024-03-01,"DOGE, LTC, BNB"
2024-05-01,mensal,neutral,,0.8,0.0008,2024-04-01,
2024-06-01,mensal,risk_on,LINK,0.7720927316049269,0.0007720927316049269,2024-05-01,LINK
2024-07-01,mensal,defensive,,1.0,0.001,2024-06-01,
2024-08-01,mensal,risk_on,XRP,1.0,0.001,2024-07-01,XRP
2024-09-01,mensal,defensive,,1.0,0.001,2024-08-01,
2024-10-01,mensal,risk_on,"SOL, RUNE, FTM",1.0,0.001,2024-09-01,"SOL, RUNE, FTM"
2024-11-01,mensal,risk_on,"DOGE, SOL, RUNE",0.21522602436483312,0.00021522602436483312,2024-10-01,"DOGE, SOL, RUNE"
2024-12-01,mensal,risk_on,"XRP, AVAX, BNB",0.6429087093293586,0.0006429087093293587,2024-11-01,"XRP, AVAX, BNB"
2025-01-01,mensal,neutral,,0.8,0.0008,2024-12-01,
2025-02-01,mensal,risk_on,"LTC, TRX, XRP",0.793368134224902,0.000793368134224902,2025-01-01,"LTC, TRX, XRP"
2025-03-01,mensal,defensive,,1.0,0.001,2025-02-01,
2025-04-01,mensal,risk_on,"TRX, RUNE, LTC",1.0,0.001,2025-03-01,"TRX, RUNE, LTC"
2025-05-01,mensal,risk_on,"SOL, BNB, AVAX",0.6155309856230982,0.0006155309856230982,2025-04-01,"SOL, BNB, AVAX"
2025-06-01,mensal,risk_on,AAVE,0.5556649508190714,0.0005556649508190715,2025-05-01,AAVE
2025-07-01,mensal,neutral,,0.7999999999999999,0.0007999999999999999,2025-06-01,
2025-08-01,mensal,risk_on,"TRX, BNB",0.7569713064541073,0.0007569713064541073,2025-07-01,"TRX, BNB"
2025-08-23,semanal confirmado 2x,risk_on,"SOL, BNB, ADA",0.39999999999999997,0.00039999999999999996,2025-07-01,"TRX, BNB"
2025-09-01,mensal,neutral,,0.8,0.0008,2025-08-01,
2025-10-01,mensal,risk_on,"BNB, AVAX",0.8002050615195095,0.0008002050615195096,2025-09-01,"BNB, AVAX"
2025-11-01,mensal,defensive,,1.0,0.001,2025-10-01,
2025-12-01,mensal,defensive,,0.0,0.0,2025-11-01,
2026-01-01,mensal,defensive,,0.0,0.0,2025-12-01,
2026-02-01,mensal,defensive,,0.0,0.0,2026-01-01,
2026-03-01,mensal,defensive,,0.0,0.0,2026-02-01,
2026-04-01,mensal,risk_on,"TRX, ZEC, BCH",1.0,0.001,2026-03-01,"TRX, ZEC, BCH"
2026-05-01,mensal,risk_on,"DOGE, TRX, ZEC",0.2215995243709991,0.00022159952437099913,2026-04-01,"DOGE, TRX, ZEC"
2026-06-01,mensal,neutral,,0.7999999999999999,0.0007999999999999999,2026-05-01,
2026-07-01,mensal,defensive,,0.16483860210929216,0.00016483860210929216,2026-06-01,
2026-08-01,mensal,risk_on,"UNI, LINK, BNB",1.0,0.001,2026-07-01,"UNI, LINK, BNB"
