asset,entry_date,exit_date,days,rank,score,realized_return,rs_accel,bb_quality,macd_slope,extension_atr,higher_low_atr
COTI,2020-11-07,2020-12-26,49,1,0.7333333333333335,0.35816434109429585,0.09994937734738796,0.6825,0.12368244504932287,0.729574820110927,0.01058649953261893
SOL,2021-01-02,2021-05-01,119,1,0.55,22.18032179903371,0.13436112509125397,0.5411477911939906,0.11248453395898397,1.2950699140879662,1.1393944129131888
SNX,2021-08-07,2021-09-11,35,1,0.5750000000000001,0.034847855459544386,0.12360661811759632,0.6649999999999999,0.061543484565277105,0.624040158060346,0.7505092573835384
SHIB,2021-09-18,2021-10-02,14,1,0.8166666666666669,-0.08950145734597148,0.4306236856237897,0.95625,0.21675798900324342,1.328854492547024,1.2121392040119483
COS,2021-11-06,2021-11-20,14,1,0.7500000000000001,-0.06887060120147881,0.011214321658953419,0.6766666666666666,0.09032955625094037,0.43487964910034094,0.6544050401451792
KMD,2021-11-27,2021-12-04,7,1,0.7500000000000001,0.10140391821333883,0.19862317181577271,0.5308333333333333,0.07210450481232346,0.11725959314531723,0.6120024952734212
WIN,2022-03-05,2022-03-12,7,1,0.7500000000000001,-0.1478480788177341,0.06127170993048281,0.5599999999999999,0.10305266038014543,0.5760432355217576,0.501625041257845
JUV,2022-03-12,2022-03-19,7,1,0.7500000000000001,0.009089899999999984,0.176280785232919,0.48999999999999994,0.025301804528456658,0.21147014903009678,0.48915155841669866
1INCH,2022-03-19,2022-04-09,21,1,0.7035714285714285,-0.008912105163727979,0.2386583022664195,0.8222310322612811,0.1178390579670436,1.3336423992561848,0.4678821445294051
TRX,2022-04-23,2022-04-30,7,1,0.6833333333333335,-0.04575520000000011,0.10554933737198335,0.32083333333333336,0.20420581906283944,0.6518899623970676,0.3022398346252752
OGN,2022-08-06,2022-08-20,14,1,0.7333333333333334,-0.18805958030634573,0.4106581090406203,0.7674996848386011,0.054889522357172475,0.5370366882731643,0.9377532028901541
API3,2022-10-01,2022-10-15,14,1,0.6705882352941177,-0.06593439048200112,0.1709279423405804,0.6416666666666666,0.03801959613018702,0.0892707582398516,1.3091294196063714
NEXO,2022-10-22,2022-11-05,14,1,0.65,0.1434271746384872,0.15773966151677432,0.6941666666666666,0.052365828370982664,0.3596210281339348,1.3137599964818116
SFP,2023-01-07,2023-02-11,35,1,0.6617647058823529,0.16297617149220467,0.19287583539717423,0.6941666666666666,0.048316415381538164,0.0178689768939247,0.32708036702051485
OCEAN,2023-03-18,2023-03-25,7,1,0.5750000000000001,-0.17188146799531068,0.02798555698862526,0.47833333333333333,0.07048892018378962,0.7797921937106371,0.7796177061394791
DASH,2023-03-25,2023-04-08,14,1,0.7500000000000001,-0.09210756706722956,0.029012987752131347,0.27416666666666667,0.09841533049087046,0.4344141418071428,1.826713107818887
OCEAN,2023-04-08,2023-04-22,14,1,0.5857142857142857,0.021868654616240546,0.3342737923885204,0.6941666666666666,0.024804045032161607,0.005018999773456222,0.30657267874810007
STG,2023-05-06,2023-05-13,7,1,0.5666666666666667,-0.213092493666027,0.07248814651890045,0.5774999999999999,0.05984956975238379,0.14095201421445164,0.3610036002367911
CELR,2023-05-20,2023-05-27,7,1,0.6277777777777777,-0.08673493396226417,0.22636757174651634,0.6358333333333333,0.07600659004511658,0.30164326567657074,0.5816522400801625
AGLD,2023-05-27,2023-06-03,7,1,0.6000000000000001,0.07332183018867933,0.3023009451066947,0.6941666666666666,0.10993900860451117,0.9872216050163871,0.06657066781018654
TRX,2023-07-01,2023-08-05,35,1,0.7500000000000001,0.005597333070866073,0.03753686997105499,0.5308333333333333,0.061919627497453764,1.1707870764461767,1.4196453764375365
SFP,2023-10-07,2023-11-04,28,1,0.7500000000000001,0.1708600369526292,0.07908475078360055,0.6825,0.09436782179230008,1.1137156740497298,0.2519029624125588
FLM,2023-12-02,2023-12-30,28,1,0.5681818181818182,0.16041154009433956,0.0687109511963474,0.63,0.03450021284493537,0.30038802632621925,1.0917511117824203
GMX,2023-12-30,2024-01-06,7,1,0.7500000000000001,0.039125823563551876,0.2648768541512291,0.3441666666666667,0.0828431238986765,0.9229753683944337,0.18839645374328842
RNDR,2024-01-20,2024-02-03,14,1,0.575,0.11023378332525446,0.19244819395938662,0.3616666666666666,0.08100251691062242,0.04168076837207492,0.7582683573417563
RAY,2024-03-02,2024-04-13,42,1,0.8500000000000002,0.3378482606674418,0.20062848412319245,0.8103661652102955,0.1751951169588321,1.1151265611831176,0.09685188043666816
SSV,2024-04-27,2024-05-04,7,1,0.6833333333333335,-0.0022206302465022087,0.42254906631590594,0.21000000000000002,0.05373306975006603,0.2171616975098317,1.361149246242971
IDEX,2024-06-01,2024-06-08,7,1,0.6357142857142857,-0.06746920857863759,0.12964427349144825,0.6941666666666666,0.015522890337319446,0.15567875854517862,0.659111651660003
UNFI,2024-06-22,2024-06-29,7,1,0.7500000000000001,0.024674639411098598,0.4434051203791035,0.42583333333333334,0.09513877142965696,0.5246283283044322,0.011860426875888522
